WL[\AA]	Flux[\muJy]
5547.8450	7.53
5552.8896	8.90
5557.9342	5.86
5562.9788	12.43
5568.0234	12.30
5573.0680	-1.80
5578.1126	-1.13
5583.1572	6.88
5588.2018	11.88
5593.2464	5.10
5598.2910	7.26
5603.3356	6.71
5608.3802	7.50
5613.4248	5.33
5618.4694	9.22
5623.5140	7.80
5628.5586	9.83
5633.6032	7.74
5638.6478	5.44
5643.6924	8.58
5648.7370	7.69
5653.7816	7.77
5658.8261	5.74
5663.8707	5.44
5668.9153	9.48
5673.9599	10.49
5679.0045	6.91
5684.0491	7.19
5689.0937	8.18
5694.1383	9.38
5699.1829	5.94
5704.2275	9.47
5709.2721	7.52
5714.3167	5.71
5719.3613	9.01
5724.4059	9.35
5729.4505	8.61
5734.4951	9.38
5739.5397	6.83
5744.5843	7.22
5749.6289	11.76
5754.6735	5.80
5759.7181	8.51
5764.7627	10.95
5769.8073	9.31
5774.8519	9.76
5779.8965	9.20
5784.9411	8.92
5789.9856	7.55
5795.0302	8.51
5800.0748	8.92
5805.1194	9.87
5810.1640	13.79
5815.2086	19.00
5820.2532	16.64
5825.2978	10.52
5830.3424	10.65
5835.3870	8.59
5840.4316	8.55
5845.4762	7.96
5850.5208	10.45
5855.5654	11.11
5860.6100	9.94
5865.6546	9.40
5870.6992	10.09
5875.7438	10.85
5880.7884	8.94
5885.8330	11.87
5890.8776	8.83
5895.9222	7.81
5900.9668	11.41
5906.0114	11.26
5911.0560	8.50
5916.1006	11.01
5921.1451	8.34
5926.1897	9.55
5931.2343	6.94
5936.2789	7.74
5941.3235	8.80
5946.3681	8.52
5951.4127	9.82
5956.4573	11.07
5961.5019	8.86
5966.5465	8.93
5971.5911	6.18
5976.6357	8.63
5981.6803	8.43
5986.7249	9.12
5991.7695	10.02
5996.8141	9.49
6001.8587	9.55
6006.9033	8.69
6011.9479	7.87
6016.9925	8.73
6022.0371	6.58
6027.0817	9.20
6032.1263	6.83
6037.1709	7.50
6042.2155	7.32
6047.2601	9.84
6052.3047	8.74
6057.3492	8.26
6062.3938	9.78
6067.4384	13.72
6072.4830	6.74
6077.5276	8.34
6082.5722	9.27
6087.6168	6.02
6092.6614	5.13
6097.7060	7.60
6102.7506	8.74
6107.7952	5.57
6112.8398	6.13
6117.8844	8.72
6122.9290	7.56
6127.9736	4.58
6133.0182	6.88
6138.0628	8.53
6143.1074	8.24
6148.1520	7.68
6153.1966	8.42
6158.2412	7.68
6163.2858	8.96
6168.3304	8.79
6173.3750	9.54
6178.4196	8.48
6183.4642	7.81
6188.5087	8.30
6193.5533	6.65
6198.5979	6.36
6203.6425	9.28
6208.6871	7.50
6213.7317	6.69
6218.7763	10.15
6223.8209	7.29
6228.8655	7.36
6233.9101	7.88
6238.9547	7.27
6243.9993	9.76
6249.0439	8.16
6254.0885	8.00
6259.1331	8.50
6264.1777	8.92
6269.2223	8.39
6274.2669	9.85
6279.3115	7.21
6284.3561	9.88
6289.4007	6.68
6294.4453	3.50
6299.4899	7.50
6304.5345	8.48
6309.5791	7.85
6314.6237	9.98
6319.6682	9.90
6324.7128	12.16
6329.7574	9.16
6334.8020	7.71
6339.8466	4.50
6344.8912	4.50
6349.9358	10.33
6354.9804	10.51
6360.0250	12.19
6365.0696	12.60
6370.1142	12.17
6375.1588	11.64
6380.2034	13.81
6385.2480	10.88
6390.2926	18.69
6395.3372	17.23
6400.3818	11.30
6405.4264	13.58
6410.4710	12.59
6415.5156	9.86
6420.5602	11.94
6425.6048	12.24
6430.6494	11.79
6435.6940	12.60
6440.7386	12.47
6445.7832	13.63
6450.8277	13.15
6455.8723	11.12
6460.9169	12.76
6465.9615	13.65
6471.0061	12.38
6476.0507	10.76
6481.0953	11.55
6486.1399	11.06
6491.1845	14.35
6496.2291	11.34
6501.2737	8.10
6506.3183	11.87
6511.3629	12.84
6516.4075	11.19
6521.4521	9.56
6526.4967	10.15
6531.5413	11.07
6536.5859	13.02
6541.6305	15.93
6546.6751	14.99
6551.7197	13.70
6556.7643	14.37
6561.8089	11.95
6566.8535	13.13
6571.8981	13.83
6576.9427	13.12
6581.9873	15.08
6587.0318	11.66
6592.0764	12.72
6597.1210	15.08
6602.1656	13.06
6607.2102	12.24
6612.2548	14.36
6617.2994	13.74
6622.3440	12.42
6627.3886	12.42
6632.4332	14.13
6637.4778	16.67
6642.5224	18.55
6647.5670	18.00
6652.6116	13.54
6657.6562	12.08
6662.7008	12.46
6667.7454	14.29
6672.7900	12.46
6677.8346	13.76
6682.8792	12.32
6687.9238	13.94
6692.9684	11.80
6698.0130	15.12
6703.0576	25.75
6708.1022	25.43
6713.1468	21.36
6718.1913	10.77
6723.2359	10.35
6728.2805	11.80
6733.3251	12.47
6738.3697	13.36
6743.4143	12.42
6748.4589	12.07
6753.5035	13.16
6758.5481	13.71
6763.5927	12.21
6768.6373	11.49
6773.6819	14.02
6778.7265	14.66
6783.7711	12.46
6788.8157	13.75
6793.8603	11.80
6798.9049	11.74
6803.9495	12.54
6808.9941	13.62
6814.0387	13.05
6819.0833	11.26
6824.1279	13.34
6829.1725	12.96
6834.2171	10.39
6839.2617	11.93
6844.3063	11.22
6849.3508	13.67
6854.3954	13.37
6859.4400	11.12
6864.4846	6.64
6869.5292	18.84
6874.5738	14.13
6879.6184	11.31
6884.6630	8.70
6889.7076	9.40
6894.7522	11.06
6899.7968	13.71
6904.8414	11.42
6909.8860	12.19
6914.9306	10.05
6919.9752	13.04
6925.0198	12.53
6930.0644	9.84
6935.1090	10.20
6940.1536	9.87
6945.1982	9.31
6950.2428	11.87
6955.2874	13.78
6960.3320	11.75
6965.3766	10.26
6970.4212	9.72
6975.4658	13.05
6980.5104	13.50
6985.5549	11.43
6990.5995	11.10
6995.6441	10.38
7000.6887	10.96
7005.7333	11.47
7010.7779	12.00
7015.8225	11.36
7020.8671	9.71
7025.9117	9.68
7030.9563	11.44
7036.0009	11.95
7041.0455	10.86
7046.0901	9.74
7051.1347	10.76
7056.1793	12.48
7061.2239	11.77
7066.2685	12.18
7071.3131	11.70
7076.3577	11.23
7081.4023	9.36
7086.4469	10.58
7091.4915	10.42
7096.5361	11.72
7101.5807	11.05
7106.6253	12.05
7111.6699	9.90
7116.7144	9.44
7121.7590	9.50
7126.8036	11.27
7131.8482	10.41
7136.8928	11.28
7141.9374	11.71
7146.9820	9.81
7152.0266	11.32
7157.0712	10.93
7162.1158	7.72
7167.1604	9.49
7172.2050	6.53
7177.2496	8.06
7182.2942	10.15
7187.3388	8.78
7192.3834	8.57
7197.4280	10.25
7202.4726	10.04
7207.5172	9.27
7212.5618	10.76
7217.6064	9.77
7222.6510	8.03
7227.6956	7.57
7232.7402	8.63
7237.7848	11.89
7242.8294	6.52
7247.8739	10.42
7252.9185	8.80
7257.9631	10.27
7263.0077	8.03
7268.0523	8.85
7273.0969	5.17
7278.1415	11.69
7283.1861	11.48
7288.2307	11.23
7293.2753	10.43
7298.3199	9.51
7303.3645	6.42
7308.4091	9.34
7313.4537	10.03
7318.4983	8.69
7323.5429	7.49
7328.5875	9.05
7333.6321	7.99
7338.6767	7.58
7343.7213	9.99
7348.7659	9.17
7353.8105	7.59
7358.8551	9.54
7363.8997	11.25
7368.9443	6.67
7373.9889	7.76
7379.0334	10.14
7384.0780	8.95
7389.1226	10.24
7394.1672	8.49
7399.2118	7.91
7404.2564	10.04
7409.3010	9.94
7414.3456	8.91
7419.3902	9.48
7424.4348	8.98
7429.4794	9.43
7434.5240	8.60
7439.5686	8.52
7444.6132	8.19
7449.6578	9.30
7454.7024	9.65
7459.7470	10.49
7464.7916	9.32
7469.8362	9.63
7474.8808	8.72
7479.9254	10.04
7484.9700	8.84
7490.0146	9.54
7495.0592	11.06
7500.1038	10.24
7505.1484	9.56
7510.1930	10.96
7515.2375	11.24
7520.2821	11.17
7525.3267	8.03
7530.3713	9.06
7535.4159	10.67
7540.4605	9.23
7545.5051	9.41
7550.5497	9.02
7555.5943	10.11
7560.6389	8.16
7565.6835	9.41
7570.7281	8.99
7575.7727	8.20
7580.8173	4.99
7585.8619	-5.25
7590.9065	-0.01
7595.9511	2.08
7600.9957	6.73
7606.0403	42.02
7611.0849	46.38
7616.1295	20.97
7621.1741	-1.03
7626.2187	7.02
7631.2633	29.11
7636.3079	33.27
7641.3525	13.84
7646.3970	9.33
7651.4416	8.36
7656.4862	7.19
7661.5308	8.79
7666.5754	5.63
7671.6200	8.94
7676.6646	7.40
7681.7092	8.75
7686.7538	10.19
7691.7984	9.88
7696.8430	7.97
7701.8876	10.08
7706.9322	6.88
7711.9768	7.02
7717.0214	8.19
7722.0660	9.73
7727.1106	8.81
7732.1552	9.26
7737.1998	9.36
7742.2444	6.36
7747.2890	8.74
7752.3336	5.06
7757.3782	14.79
7762.4228	10.72
7767.4674	13.81
7772.5120	10.79
7777.5565	7.77
7782.6011	11.51
7787.6457	12.33
7792.6903	9.37
7797.7349	9.34
7802.7795	8.50
7807.8241	9.81
7812.8687	16.06
7817.9133	8.30
7822.9579	5.78
7828.0025	7.63
7833.0471	9.75
7838.0917	14.22
7843.1363	10.91
7848.1809	15.47
7853.2255	10.89
7858.2701	10.68
7863.3147	16.25
7868.3593	9.77
7873.4039	7.17
7878.4485	11.23
7883.4931	9.05
7888.5377	9.64
7893.5823	7.21
7898.6269	9.20
7903.6715	7.74
7908.7161	4.12
7913.7606	7.77
7918.8052	10.70
7923.8498	12.03
7928.8944	12.78
7933.9390	12.03
7938.9836	10.98
7944.0282	7.98
7949.0728	11.38
7954.1174	8.27
7959.1620	11.30
7964.2066	8.25
7969.2512	8.36
7974.2958	8.55
7979.3404	12.26
7984.3850	12.00
7989.4296	8.04
7994.4742	13.03
7999.5188	7.61
8004.5634	8.26
8009.6080	9.94
8014.6526	12.28
8019.6972	10.52
8024.7418	10.72
8029.7864	11.96
8034.8310	6.45
8039.8756	7.99
8044.9201	9.66
8049.9647	11.44
8055.0093	11.29
8060.0539	9.41
8065.0985	10.45
8070.1431	11.43
8075.1877	11.80
8080.2323	10.55
8085.2769	9.38
8090.3215	6.76
8095.3661	6.95
8100.4107	11.63
8105.4553	8.61
8110.4999	9.28
8115.5445	10.05
8120.5891	8.32
8125.6337	9.93
8130.6783	10.47
8135.7229	8.50
8140.7675	7.46
8145.8121	9.11
8150.8567	9.66
8155.9013	10.81
8160.9459	7.94
8165.9905	9.07
8171.0351	9.97
8176.0796	10.07
8181.1242	10.27
8186.1688	11.35
8191.2134	8.14
8196.2580	6.77
8201.3026	9.85
8206.3472	9.85
8211.3918	8.20
8216.4364	7.53
8221.4810	8.81
8226.5256	8.43
8231.5702	11.32
8236.6148	8.67
8241.6594	9.68
8246.7040	9.45
8251.7486	8.76
8256.7932	10.01
8261.8378	10.39
8266.8824	10.26
8271.9270	9.66
8276.9716	6.07
8282.0162	8.53
8287.0608	15.43
8292.1054	-0.98
8297.1500	0.95
8302.1946	10.49
8307.2391	9.96
8312.2837	3.90
8317.3283	8.82
8322.3729	9.93
8327.4175	8.72
8332.4621	8.82
8337.5067	13.68
8342.5513	3.75
8347.5959	6.59
8352.6405	12.51
8357.6851	3.39
8362.7297	10.47
8367.7743	9.08
8372.8189	8.46
8377.8635	13.57
8382.9081	10.60
8387.9527	13.07
8392.9973	10.08
8398.0419	16.54
8403.0865	13.86
8408.1311	3.20
8413.1757	7.15
8418.2203	14.42
8423.2649	9.60
8428.3095	13.63
8433.3541	10.88
8438.3987	12.85
8443.4432	14.95
8448.4878	10.79
8453.5324	7.05
8458.5770	9.80
8463.6216	11.22
8468.6662	12.54
8473.7108	8.58
8478.7554	9.67
8483.8000	11.36
8488.8446	11.86
8493.8892	10.45
8498.9338	11.33
8503.9784	12.11
8509.0230	12.52
8514.0676	10.76
8519.1122	10.48
8524.1568	9.60
8529.2014	8.89
8534.2460	8.42
8539.2906	9.44
8544.3352	13.50
8549.3798	11.65
8554.4244	10.87
8559.4690	11.95
8564.5136	8.72
8569.5582	7.53
8574.6027	12.91
8579.6473	13.54
8584.6919	10.89
8589.7365	11.57
8594.7811	7.64
8599.8257	9.18
8604.8703	9.91
8609.9149	14.67
8614.9595	13.17
8620.0041	1.22
8625.0487	3.00
8630.0933	12.62
8635.1379	10.01
8640.1825	18.58
8645.2271	16.52
8650.2717	6.04
8655.3163	2.60
8660.3609	13.45
8665.4055	10.77
8670.4501	11.92
8675.4947	4.15
8680.5393	4.14
8685.5839	11.97
8690.6285	9.13
8695.6731	11.76
8700.7177	13.01
8705.7622	8.90
8710.8068	8.25
8715.8514	8.42
8720.8960	8.66
8725.9406	8.81
8730.9852	9.43
8736.0298	8.79
8741.0744	10.52
8746.1190	9.90
8751.1636	6.95
8756.2082	12.44
8761.2528	8.82
8766.2974	7.88
8771.3420	7.62
8776.3866	-1.23
8781.4312	-10.32
8786.4758	16.90
8791.5204	4.36
8796.5650	-21.77
8801.6096	-33.02
8806.6542	-27.52
8811.6988	3.25
8816.7434	19.59
8821.7880	15.88
8826.8326	0.85
8831.8772	20.77
8836.9218	5.92
8841.9663	10.83
8847.0109	8.71
8852.0555	6.67
8857.1001	13.70
8862.1447	16.65
8867.1893	8.13
8872.2339	12.05
8877.2785	13.62
8882.3231	4.06
8887.3677	4.39
8892.4123	10.31
8897.4569	12.91
8902.5015	19.74
8907.5461	8.77
8912.5907	10.61
8917.6353	-3.97
8922.6799	-5.62
8927.7245	1.20
8932.7691	9.68
8937.8137	12.78
8942.8583	6.74
8947.9029	17.84
8952.9475	9.60
8957.9921	12.11
8963.0367	22.29
8968.0813	14.46
8973.1258	6.06
8978.1704	3.79
8983.2150	-4.84
8988.2596	8.33
8993.3042	21.35
8998.3488	19.79
9003.3934	21.33
9008.4380	29.70
9013.4826	37.75
9018.5272	32.08
9023.5718	19.08
9028.6164	18.03
9033.6610	15.47
9038.7056	10.49
9043.7502	7.16
9048.7948	-3.91
9053.8394	-4.72
9058.8840	7.55
9063.9286	15.04
9068.9732	9.09
9074.0178	7.19
9079.0624	10.78
9084.1070	11.13
9089.1516	7.48
9094.1962	10.91
9099.2408	7.57
9104.2853	8.18
9109.3299	8.81
9114.3745	4.47
9119.4191	7.99
9124.4637	7.50
9129.5083	7.24
9134.5529	5.66
9139.5975	11.99
9144.6421	13.34
9149.6867	5.08
9154.7313	7.46
9159.7759	11.55
9164.8205	5.52
9169.8651	9.79
9174.9097	13.52
9179.9543	9.98
9184.9989	10.98
9190.0435	13.06
9195.0881	10.08
9200.1327	7.66
9205.1773	13.74
9210.2219	11.60
9215.2665	16.06
9220.3111	15.23
9225.3557	9.71
9230.4003	11.78
9235.4448	13.46
9240.4894	17.44
9245.5340	15.57
9250.5786	7.33
9255.6232	8.26
9260.6678	19.06
9265.7124	8.69
9270.7570	10.09
9275.8016	12.14
9280.8462	13.77
9285.8908	12.21
9290.9354	8.45
9295.9800	0.42
9301.0246	76.22
9306.0692	92.33
9311.1138	60.28
9316.1584	18.84
9321.2030	-14.79
9326.2476	-45.35
9331.2922	-8.51
9336.3368	16.76
9341.3814	19.53
9346.4260	46.22
9351.4706	-4.15
9356.5152	24.92
9361.5598	18.45
9366.6044	13.21
9371.6489	77.96
9376.6935	66.59
9381.7381	78.27
9386.7827	48.59
9391.8273	24.59
9396.8719	29.40
9401.9165	27.52
9406.9611	11.86
9412.0057	-6.06
9417.0503	-7.42
9422.0949	2.72
9427.1395	-33.50
9432.1841	-147.66
9437.2287	-73.17
9442.2733	-54.17
9447.3179	-78.08
9452.3625	-38.73
9457.4071	-44.84
9462.4517	20.28
9467.4963	93.07
9472.5409	41.00
9477.5855	65.78
9482.6301	70.37
9487.6747	47.90
9492.7193	-8.92
9497.7639	-10.71
9502.8084	47.61
9507.8530	51.64
9512.8976	72.66
9517.9422	77.12
9522.9868	76.59
9528.0314	52.01
9533.0760	39.58
9538.1206	15.42
9543.1652	14.24
9548.2098	43.74
9553.2544	57.33
9558.2990	125.83
9563.3436	157.75
9568.3882	156.71
9573.4328	124.33
9578.4774	73.20
9583.5220	32.77
9588.5666	32.31
9593.6112	45.65
9598.6558	43.94
9603.7004	23.77
9608.7450	9.15
9613.7896	44.32
9618.8342	38.05
9623.8788	31.05
9628.9234	47.81
9633.9679	55.53
9639.0125	63.06
9644.0571	42.95
9649.1017	39.74
9654.1463	57.39
9659.1909	62.98
9664.2355	47.96
9669.2801	51.25
9674.3247	73.95
9679.3693	52.18
9684.4139	36.41
9689.4585	-26.40
9694.5031	48.23
9699.5477	69.09
9704.5923	75.61
9709.6369	112.00
9714.6815	108.26
9719.7261	138.51
9724.7707	82.90
9729.8153	112.49
9734.8599	61.30
9739.9045	75.08
9744.9491	112.39
9749.9937	89.09
9755.0383	80.30
9760.0829	90.61
9765.1274	99.95
9770.1720	97.00
9775.2166	109.38
9780.2612	84.59
9785.3058	70.96
9790.3504	49.04
9795.3950	49.73
9800.4396	188.31
9805.4842	155.26
9810.5288	126.05
9815.5734	137.48
9820.6180	160.81
9825.6626	165.14
9830.7072	120.08
9835.7518	178.98
9840.7964	232.43
9845.8410	188.32
9850.8856	156.95
9855.9302	129.13
9860.9748	101.95
9866.0194	171.38
9871.0640	272.98
9876.1086	165.72
9881.1532	126.20
9886.1978	93.10
9891.2424	60.99
9896.2870	165.40
9901.3315	119.08
9906.3761	-99.69
9911.4207	-47.36
9916.4653	35.32
9921.5099	68.66
9926.5545	61.07
9931.5991	-167.78
9936.6437	-256.30
9941.6883	-71.69
9946.7329	80.18
9951.7775	683.58
9956.8221	1027.18
9961.8667	794.39
9966.9113	493.39
9971.9559	453.86
9977.0005	238.94
9982.0451	447.08
9987.0897	353.58
9992.1343	452.45
9997.1789	752.20
10002.2235	1617.62
10007.2681	2103.69
10012.3127	1824.33
